,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
0,James Cameron,Joel David Moore,ActionAdventureFantasySci-Fi,CCH Pounder,Avatar,Wes Studi,James Cameron Joel David Moore ActionAdventureFantasySci-Fi CCH Pounder Wes Studi
1,Gore Verbinski,Orlando Bloom,ActionAdventureFantasy,Johnny Depp,Pirates of the Caribbean: At World's End,Jack Davenport,Gore Verbinski Orlando Bloom ActionAdventureFantasy Johnny Depp Jack Davenport
2,Sam Mendes,Rory Kinnear,ActionAdventureThriller,Christoph Waltz,Spectre,Stephanie Sigman,Sam Mendes Rory Kinnear ActionAdventureThriller Christoph Waltz Stephanie Sigman
3,Christopher Nolan,Christian Bale,ActionThriller,Tom Hardy,The Dark Knight Rises,Joseph Gordon-Levitt,Christopher Nolan Christian Bale ActionThriller Tom Hardy Joseph Gordon-Levitt
5,Andrew Stanton,Samantha Morton,ActionAdventureSci-Fi,Daryl Sabara,John Carter,Polly Walker,Andrew Stanton Samantha Morton ActionAdventureSci-Fi Daryl Sabara Polly Walker
6,Sam Raimi,James Franco,ActionAdventureRomance,J.K. Simmons,Spider-Man 3,Kirsten Dunst,Sam Raimi James Franco ActionAdventureRomance J.K. Simmons Kirsten Dunst
7,Nathan Greno,Donna Murphy,AdventureAnimationComedyFamilyFantasyMusicalRomance,Brad Garrett,Tangled,M.C. Gainey,Nathan Greno Donna Murphy AdventureAnimationComedyFamilyFantasyMusicalRomance Brad Garrett M.C. Gainey
8,Joss Whedon,Robert Downey Jr.,ActionAdventureSci-Fi,Chris Hemsworth,Avengers: Age of Ultron,Scarlett Johansson,Joss Whedon Robert Downey Jr. ActionAdventureSci-Fi Chris Hemsworth Scarlett Johansson
9,David Yates,Daniel Radcliffe,AdventureFamilyFantasyMystery,Alan Rickman,Harry Potter and the Half-Blood Prince,Rupert Grint,David Yates Daniel Radcliffe AdventureFamilyFantasyMystery Alan Rickman Rupert Grint
10,Zack Snyder,Lauren Cohan,ActionAdventureSci-Fi,Henry Cavill,Batman v Superman: Dawn of Justice,Alan D. Purwin,Zack Snyder Lauren Cohan ActionAdventureSci-Fi Henry Cavill Alan D. Purwin
11,Bryan Singer,Marlon Brando,ActionAdventureSci-Fi,Kevin Spacey,Superman Returns,Frank Langella,Bryan Singer Marlon Brando ActionAdventureSci-Fi Kevin Spacey Frank Langella
12,Marc Forster,Mathieu Amalric,ActionAdventure,Giancarlo Giannini,Quantum of Solace,Rory Kinnear,Marc Forster Mathieu Amalric ActionAdventure Giancarlo Giannini Rory Kinnear
13,Gore Verbinski,Orlando Bloom,ActionAdventureFantasy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,Jack Davenport,Gore Verbinski Orlando Bloom ActionAdventureFantasy Johnny Depp Jack Davenport
14,Gore Verbinski,Ruth Wilson,ActionAdventureWestern,Johnny Depp,The Lone Ranger,Tom Wilkinson,Gore Verbinski Ruth Wilson ActionAdventureWestern Johnny Depp Tom Wilkinson
